,PTLO
Price/Earnings (TTM),
Price/Sales (TTM),2.58514
Price/Book (MRQ),6.63839
Price/Cash Flow (TTM),
5yr Low,14.84
5yr High,57.73
5yr Avg Return,-0.014049999999999976
Short Int Current Month,5968021.0
Short Int Prev Month,5594941.0
Short Int Pct of Float,0.16003209999999998
Days to Cover,5.02852
Float,38.81337
Shares Outstanding,72.13986
Institutions Holding Shares,182.0
% Held by Institutions,0.577137
FCF Growth 5yr,-1.706202055982093
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
