,PTLO
% Above Low,0.363
% Held by Institutions,0.5771000000000001
52-Wk Range,['14.84 - 43.62']
Annual Dividend $,
Annual Dividend %,
Ask,20.23
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,
Bid,20.2
Bid Size,200.0
Day Change $,-0.39
Day Change %,-0.0189
Day High,20.77
Day Low,20.19
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.35
Ex-dividend Date,No dividend
Historical Volatility,0.639
Last (size),310.0
Last (time),11:49a ET 11/28/22
Market Cap,976.2M
"P/E Ratio (TTM, GAAP)",
Prev Close,20.61
Price,20.22
Shares Outstanding,48.3M
Short Interest,0.16
Today's Open,20.64
Volume Past Day,(Light)
