,CAKE
% Below High,0.174
% Held by Institutions,0.8894
52-Wk Range,['26.05 - 44.65']
Annual Dividend $,1.08
Annual Dividend %,0.029300000000000003
Ask,38.0
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,1.4
Bid,35.25
Bid Size,200.0
Closing Price,36.88
Day Change $,0.44
Day Change %,0.0121
Day High,37.15
Day Low,36.3
Dividend Pay Date,2022-11-28 00:00:00
"EPS (TTM, GAAP)",0.97
Ex-dividend,2022-11-14 00:00:00
Ex-dividend Date,11/14/22
Historical Volatility,0.521
Last (size),5.0
Last (time),1:00p ET 11/25/22
Market Cap,1.9B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",37.83
Prev Close,36.44
Shares Outstanding,51.4M
Short Interest,0.1668
Today's Open,36.66
Volume,379903.0
Volume 10-day Avg,900428.0
Volume Past Day,(Light)
