,CAKE
Next Earnings Announcement,2023-02-15 00:00:00
Growth Analysts,17.0
Growth 1yr Low Est,-0.30805687203791465
Growth 1yr High Est,-0.1836734693877552
Growth 1yr Consensus Est,-0.24586517071283492
Growth 2yr Low Est,0.01377978315912487
Growth 2yr High Est,0.2781632653061224
Growth 2yr Consensus Est,0.14597152423262363
Growth 5yr Low Est,-0.03705542092043759
Growth 5yr High Est,0.11848238171673164
Growth 5yr Consensus Est,0.040713480398147026
Growth 5yr Actual/Est,-0.8417850253315742
Growth 3yr Historic,-1.0001028568489805
