,HY
% Above Low,0.4364
% Held by Institutions,0.5488000000000001
52-Wk Range,['20.99 - 45.96']
Annual Dividend $,1.29
Annual Dividend %,0.042800000000000005
Ask,32.5
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,1.2
Bid,12.18
Bid Size,200.0
Closing Price,30.15
Day Change $,-0.78
Day Change %,-0.0252
Day High,30.88
Day Low,30.13
Dividend Pay Date,2022-12-15 00:00:00
"EPS (TTM, GAAP)",-10.97
Ex-dividend,2022-11-30 00:00:00
Ex-dividend Date,11/30/22
Historical Volatility,0.488
Last (size),5.0
Last (time),5:00p ET 11/25/22
Market Cap,511.9M
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,30.93
Shares Outstanding,16.9M
Short Interest,0.024
Today's Open,30.88
Volume,15676.0
Volume 10-day Avg,36733.0
Volume Past Day,(Light)
