,HY
Price/Earnings (TTM),
Price/Sales (TTM),0.15052
Price/Book (MRQ),4.47723
Price/Cash Flow (TTM),
5yr Low,20.99
5yr High,102.17
5yr Avg Return,-0.1516
EPS Growth 5yr,
Revenue Growth 5yr,0.0366026
Dividend Growth 5yr,0.0189279
Short Int Current Month,228391.0
Short Int Prev Month,272502.0
Short Int Pct of Float,0.0240447
Days to Cover,4.84074
Float,9.6557
Shares Outstanding,16.93851
Institutions Holding Shares,144.0
% Held by Institutions,0.548808
FCF Growth 5yr,-1.4794795254873003
