,HY
Next Earnings Announcement,2023-02-21 00:00:00
Growth Analysts,2.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-1.343137254901961
Growth 2yr High Est,-1.4223107569721116
Growth 2yr Consensus Est,-1.3827240059370363
Growth 5yr Low Est,-1.343137254901961
Growth 5yr High Est,-1.4223107569721116
Growth 5yr Consensus Est,-1.3827240059370363
Growth 5yr Actual/Est,-1.5908962542492755
Growth 3yr Historic,-1.1179813401187446
