,DBRG
% Above Low,0.3699
% Held by Institutions,0.8828
52-Wk Range,['11.22 - 34.20']
Annual Dividend $,0.04
Annual Dividend %,0.0026
Ask,25.0
Ask Size,300.0
B/A Ratio,0.6666666666666666
B/A Size,200x300
Beta,1.9
Bid,9.99
Bid Size,200.0
Closing Price,15.37
Day Change $,0.52
Day Change %,0.035
Day High,15.42
Day Low,14.76
Dividend Pay Date,2023-01-17 00:00:00
"EPS (TTM, GAAP)",-1.67
Ex-dividend,2022-12-29 00:00:00
Ex-dividend Date,12/29/22
Historical Volatility,0.547
Last (size),2.0
Last (time),5:00p ET 11/25/22
Market Cap,2.5B
"P/E Ratio (TTM, GAAP)",
Prev Close,14.85
Shares Outstanding,159.9M
Short Interest,0.0512
Today's Open,14.76
Volume,613561.0
Volume 10-day Avg,1681694.0
Volume Past Day,(Light)
