,DBRG
Price/Earnings (TTM),
Price/Sales (TTM),2.2355
Price/Book (MRQ),2.93511
Price/Cash Flow (TTM),27.49352
5yr Low,5.32
5yr High,49.36
5yr Avg Return,-0.07165
EPS Growth 5yr,
Revenue Growth 5yr,0.028584000000000002
Dividend Growth 5yr,
Short Int Current Month,7820816.0
Short Int Prev Month,8788070.0
Short Int Pct of Float,0.0512172
Days to Cover,4.04374
Float,152.7052
Shares Outstanding,159.8953
Institutions Holding Shares,326.0
% Held by Institutions,0.882754
FCF Growth 5yr,
