,TMCI
% Below High,0.1143
% Held by Institutions,0.4725
52-Wk Range,['12.48 - 25.02']
Annual Dividend $,
Annual Dividend %,
Ask,22.21
Ask Size,600.0
Ask close,26.83
B/A Ratio,0.16666666666666666
B/A Size,100x600
Beta,
Bid,21.5
Bid Size,100.0
Bid close,16.85
Change Since Close,0.00| |(0.00%)
Closing Price,22.16
Day Change $,-0.05
Day Change %,-0.0023
Day High,22.36
Day Low,21.68
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.82
Ex-dividend Date,No dividend
Historical Volatility,0.674
Last (size),180.0
Last (time),4:00p ET 11/28/22
Last Trade,22.16
Market Cap,1.2B
"P/E Ratio (TTM, GAAP)",
Prev Close,22.21
Shares Outstanding,55.5M
Short Interest,0.0834
Today's Open,22.1
Volume,245575.0
Volume 10-day Avg,455390.0
Volume Past Day,(Light)
