,TMCI
Price/Earnings (TTM),
Price/Sales (TTM),9.82163
Price/Book (MRQ),19.81701
Price/Cash Flow (TTM),
5yr Low,12.48
5yr High,37.17
5yr Avg Return,-0.029600000000000008
Short Int Current Month,2651747.0
Short Int Prev Month,2618844.0
Short Int Pct of Float,0.0833783
Days to Cover,5.79964
Float,33.35476
Shares Outstanding,55.50174
Institutions Holding Shares,130.0
% Held by Institutions,0.47249699999999994
FCF Growth 5yr,
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
