,EXC
% Above Low,0.1388
% Held by Institutions,0.8251000000000001
52-Wk Range,['35.19 - 50.71']
Annual Dividend $,1.35
Annual Dividend %,0.0337
Ask,40.11
Ask Size,900.0
B/A Ratio,0.1111111111111111
B/A Size,100x900
Beta,0.5
Bid,40.0
Bid Size,100.0
Closing Price,40.07
Day Change $,0.2
Day Change %,0.005
Day High,40.27
Day Low,39.94
Dividend Pay Date,2022-12-09 00:00:00
"EPS (TTM, GAAP)",2.04
Ex-dividend,2022-11-14 00:00:00
Ex-dividend Date,11/14/22
Historical Volatility,0.669
Last (size),2.0
Last (time),1:00p ET 11/25/22
Market Cap,39.8B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",19.6
Prev Close,39.87
Shares Outstanding,993.7M
Short Interest,0.0137
Today's Open,39.98
Volume,3381201.0
Volume 10-day Avg,6501378.0
Volume Past Day,(Light)
