,EXC
Price/Earnings (TTM),19.60276
Price/Sales (TTM),1.65617
Price/Book (MRQ),1.62027
Price/Cash Flow (TTM),6.72168
5yr Low,29.28
5yr High,58.21
5yr Avg Return,0.014599999999999997
EPS Growth 5yr,0.0755866
Revenue Growth 5yr,0.0299162
Dividend Growth 5yr,0.0389362
Short Int Current Month,13626663.0
Short Int Prev Month,13418050.0
Short Int Pct of Float,0.013747
Days to Cover,1.43504
Float,991.6302
Shares Outstanding,993.742
Institutions Holding Shares,1353.0
% Held by Institutions,0.825063
FCF Growth 5yr,0.9409859965386252
