,EXC
Next Earnings Announcement,2023-02-24 00:00:00
Growth Analysts,11.0
Growth 1yr Low Est,-0.16666666666666674
Growth 1yr High Est,-0.2400000000000001
Growth 1yr Consensus Est,-0.20333333333333342
Growth 2yr Low Est,-0.06555555555555559
Growth 2yr High Est,-0.09807017543859647
Growth 2yr Consensus Est,-0.08181286549707603
Growth 5yr Low Est,-0.05768665756360497
Growth 5yr High Est,-0.061495530757272904
Growth 5yr Consensus Est,-0.05959109416043894
Growth 5yr Actual/Est,-0.06963934378938516
Growth 3yr Historic,-0.031055900621118043
