,TDW
% Below High,0.2036
% Held by Institutions,0.8386
52-Wk Range,['9.75 - 36.50']
Annual Dividend $,
Annual Dividend %,
Ask,30.96
Ask Size,100.0
B/A Ratio,35.0
B/A Size,3500x100
Beta,1.5
Bid,28.6
Bid Size,3500.0
Change Since Close,0.00| |(0.00%)
Closing Price,29.07
Day Change $,-1.17
Day Change %,-0.0387
Day High,30.05
Day Low,28.61
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.72
Ex-dividend Date,No dividend
Historical Volatility,0.61
Last (size),329.0
Last (time),4:10p ET 11/28/22
Last Trade,0.0
Market Cap,1.5B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,30.24
Shares Outstanding,50.5M
Short Interest,0.0464
Today's Open,29.23
Volume,497834.0
Volume 10-day Avg,618954.0
Volume Past Day,(Below Average)
