,TDW
Price/Earnings (TTM),
Price/Sales (TTM),2.69721
Price/Book (MRQ),1.66067
Price/Cash Flow (TTM),32.40985
5yr Low,4.09
5yr High,36.5
5yr Avg Return,0.19265000000000002
Short Int Current Month,2306758.0
Short Int Prev Month,2344241.0
Short Int Pct of Float,0.046350499999999996
Days to Cover,2.32801
Float,49.76776
Shares Outstanding,50.49356
Institutions Holding Shares,188.0
% Held by Institutions,0.838557
FCF Growth 5yr,-0.5610832923991408
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
