,SSNC
% Above Low,0.1436
% Held by Institutions,0.8414
52-Wk Range,['45.25 - 84.85']
Annual Dividend $,0.8
Annual Dividend %,0.015300000000000001
Ask,51.75
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.4
Bid,51.73
Bid Size,100.0
Day Change $,-0.67
Day Change %,-0.0128
Day High,52.64
Day Low,51.73
Dividend Pay Date,2022-12-15 00:00:00
"EPS (TTM, GAAP)",2.61
Ex-dividend,2022-11-30 00:00:00
Ex-dividend Date,11/30/22
Historical Volatility,0.299
Last (size),100.0
Last (time),3:19p ET 11/28/22
Market Cap,13.0B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",20.05
Prev Close,52.42
Price,51.75
Shares Outstanding,251.9M
Short Interest,0.0126
Today's Open,51.83
Volume Past Day,(Light)
