,SSNC
Next Earnings Announcement,2023-02-09 00:00:00
Growth Analysts,13.0
Growth 1yr Low Est,-0.06275303643724706
Growth 1yr High Est,-0.01988071570576555
Growth 1yr Consensus Est,-0.0413168760715063
Growth 2yr Low Est,-0.008698332473483172
Growth 2yr High Est,0.029613394682614202
Growth 2yr Consensus Est,0.010457531104565515
Growth 5yr Low Est,0.0744065068621581
Growth 5yr High Est,0.09316960216697792
Growth 5yr Consensus Est,0.08378805451456801
Growth 5yr Actual/Est,0.07270106246889618
Growth 3yr Historic,0.07253931629121374
