,CGEM
% Below High,0.3054
% Held by Institutions,0.8112999999999999
52-Wk Range,['7.30 - 19.12']
Annual Dividend $,
Annual Dividend %,
Ask,15.8
Ask Size,300.0
B/A Ratio,10.0
B/A Size,3000x300
Beta,
Bid,10.0
Bid Size,3000.0
Closing Price,13.28
Day Change $,-0.13
Day Change %,-0.0097
Day High,13.57
Day Low,12.96
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",2.19
Ex-dividend Date,No dividend
Historical Volatility,0.71
Last (size),14.0
Last (time),12:59p ET 11/25/22
Market Cap,604.2M
"P/E Ratio (TTM, GAAP)",6.06
Prev Close,13.41
Shares Outstanding,45.8M
Short Interest,0.061200000000000004
Today's Open,13.36
Volume,154646.0
Volume 10-day Avg,166973.0
Volume Past Day,(Average)
