,CGEM
Price/Earnings (TTM),6.06227
Price/Sales (TTM),
Price/Book (MRQ),1.03641
Price/Cash Flow (TTM),5.95222
5yr Low,7.3
5yr High,59.85
5yr Avg Return,-0.39335000000000003
Short Int Current Month,2307124.0
Short Int Prev Month,2430832.0
Short Int Pct of Float,0.0612225
Days to Cover,14.07221
Float,37.68427
Shares Outstanding,45.77245
Institutions Holding Shares,146.0
% Held by Institutions,0.811318
FCF Growth 5yr,0.44895970038143035
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
