,CGEM
Next Earnings Announcement,2023-03-16 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-2.5781990521327014
Growth 2yr High Est,-1.988235294117647
Growth 2yr Consensus Est,-2.2832171731251742
Growth 5yr Low Est,-2.5781990521327014
Growth 5yr High Est,-1.988235294117647
Growth 5yr Consensus Est,-2.2832171731251742
Growth 5yr Actual/Est,-1.84626142554783
Growth 3yr Historic,-0.24087591240875914
