,LPLA
Price/Earnings (TTM),29.73272
Price/Sales (TTM),2.20624
Price/Book (MRQ),9.24475
Price/Cash Flow (TTM),20.35136
5yr Low,32.01
5yr High,271.56
5yr Avg Return,0.30398333333333327
EPS Growth 5yr,0.21414100000000003
Revenue Growth 5yr,0.1377714
Dividend Growth 5yr,0.0
Short Int Current Month,1625960.0
Short Int Prev Month,2476886.0
Short Int Pct of Float,0.0205735
Days to Cover,1.16184
Float,79.13037
Shares Outstanding,79.60038
Institutions Holding Shares,760.0
% Held by Institutions,0.978199
FCF Growth 5yr,-5.0142560937500775
