,LPLA
% Below High,0.1466
% Held by Institutions,0.9782
52-Wk Range,['140.65 - 271.56']
Annual Dividend $,1.0
Annual Dividend %,0.0043
Ask,
Ask Size,
B/A Ratio,
B/A Size,--
Beta,0.9
Bid,
Bid Size,
Closing Price,231.76
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-11-28 00:00:00
"EPS (TTM, GAAP)",7.79
Ex-dividend,2022-11-09 00:00:00
Ex-dividend Date,11/09/22
Historical Volatility,0.42200000000000004
Last (size),5.0
Last (time),1:00p ET 11/25/22
Market Cap,18.4B
Market Edge Opinion:,Neutral From Long
"P/E Ratio (TTM, GAAP)",29.73
Prev Close,231.76
Shares Outstanding,79.6M
Short Interest,0.0206
Today's Open,
Volume,289485.0
Volume 10-day Avg,1386032.0
Volume Past Day,(Light)
