,MGM
Price/Earnings (TTM),12.21597
Price/Sales (TTM),1.08965
Price/Book (MRQ),2.86892
Price/Cash Flow (TTM),4.57326
5yr Low,5.9
5yr High,51.17
5yr Avg Return,0.046599999999999996
EPS Growth 5yr,0.0468588
Revenue Growth 5yr,0.0042238
Dividend Growth 5yr,
Short Int Current Month,11434136.0
Short Int Prev Month,17142064.0
Short Int Pct of Float,0.0361083
Days to Cover,1.64679
Float,306.1309
Shares Outstanding,384.0203
Institutions Holding Shares,841.0
% Held by Institutions,0.6544240000000001
FCF Growth 5yr,0.23392102726277186
