,MGM
Next Earnings Announcement,2023-02-08 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.8739946380697051
Growth 2yr High Est,-4.36283185840708
Growth 2yr Consensus Est,-2.618413248238393
Growth 5yr Low Est,-0.8739946380697051
Growth 5yr High Est,-4.36283185840708
Growth 5yr Consensus Est,-2.618413248238393
Growth 5yr Actual/Est,-0.8199741361041253
Growth 3yr Historic,-1.0729233637649478
