,MGM
% Above Low,0.3529
% Held by Institutions,0.6544
52-Wk Range,['26.41 - 49.00']
Annual Dividend $,0.01
Annual Dividend %,0.0003
Ask,36.83
Ask Size,200.0
B/A Ratio,3.0
B/A Size,600x200
Beta,2.0
Bid,36.4
Bid Size,600.0
Change Since Close,0.87| |(2.43%)
Closing Price,35.73
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-12-15 00:00:00
"EPS (TTM, GAAP)",2.92
Ex-dividend,2022-12-08 00:00:00
Ex-dividend Date,12/08/22
Historical Volatility,0.495
Last (size),518.0
Last (time),5:00p ET 11/25/22
Last Trade,36.6
Market Cap,13.7B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",12.22
Prev Close,35.73
Shares Outstanding,384.0M
Short Interest,0.0361
Today's Open,
Volume,7700.0
Volume 10-day Avg,4109797.0
Volume Past Day,(Light)
