,ZS
% Above Low,0.19710000000000003
% Held by Institutions,0.4781
52-Wk Range,['114.21 - 373.74']
Annual Dividend $,
Annual Dividend %,
Ask,137.45
Ask Size,500.0
B/A Ratio,0.2
B/A Size,100x500
Beta,0.8
Bid,136.72
Bid Size,100.0
Closing Price,136.72
Day Change $,-2.03
Day Change %,-0.0146
Day High,139.39
Day Low,135.42
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-2.77
Ex-dividend Date,No dividend
Historical Volatility,0.774
Last (size),1.0
Last (time),3:59p ET 11/28/22
Market Cap,19.7B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,138.75
Shares Outstanding,144.2M
Short Interest,0.07139999999999999
Today's Open,137.62
Volume,1515386.0
Volume 10-day Avg,1726232.0
Volume Past Day,(Below Average)
