,ZS
Price/Earnings (TTM),
Price/Sales (TTM),18.34126
Price/Book (MRQ),34.61804
Price/Cash Flow (TTM),
5yr Low,24.76
5yr High,376.11
5yr Avg Return,0.78614
EPS Growth 5yr,
Revenue Growth 5yr,0.5405715
Dividend Growth 5yr,
Short Int Current Month,6171581.0
Short Int Prev Month,6677777.0
Short Int Pct of Float,0.0713733
Days to Cover,2.17359
Float,86.47519
Shares Outstanding,144.2113
Institutions Holding Shares,893.0
% Held by Institutions,0.478055
FCF Growth 5yr,0.40738796457460524
