,MRCY
% Above Low,0.21670000000000003
% Held by Institutions,0.9823999999999999
52-Wk Range,['40.48 - 72.28']
Annual Dividend $,
Annual Dividend %,
Ask,51.0
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.9
Bid,0.15
Bid Size,100.0
Closing Price,49.25
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.07
Ex-dividend Date,No dividend
Historical Volatility,0.42100000000000004
Last (size),661.0
Last (time),1:00p ET 11/25/22
Market Cap,2.9B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",744.07
Prev Close,49.25
Shares Outstanding,58.0M
Short Interest,0.0385
Today's Open,
Volume,91650.0
Volume 10-day Avg,234204.0
Volume Past Day,(Light)
