,MRCY
Price/Earnings (TTM),744.0701
Price/Sales (TTM),2.88226
Price/Book (MRQ),1.79792
Price/Cash Flow (TTM),28.63998
5yr Low,30.11
5yr High,96.29
5yr Avg Return,0.027283333333333337
EPS Growth 5yr,-0.18993839999999998
Revenue Growth 5yr,0.1931954
Dividend Growth 5yr,
Short Int Current Month,2178549.0
Short Int Prev Month,2008023.0
Short Int Pct of Float,0.038548900000000004
Days to Cover,6.3005
Float,56.5249
Shares Outstanding,57.98243
Institutions Holding Shares,310.0
% Held by Institutions,0.9823959999999999
FCF Growth 5yr,1.0798993747255041
