,SABR
Price/Earnings (TTM),
Price/Sales (TTM),0.72727
Price/Book (MRQ),
Price/Cash Flow (TTM),
5yr Low,3.3
5yr High,26.78
5yr Avg Return,-0.16678333333333334
EPS Growth 5yr,
Revenue Growth 5yr,-0.1292244
Dividend Growth 5yr,
Short Int Current Month,41068271.0
Short Int Prev Month,42461746.0
Short Int Pct of Float,0.1301438
Days to Cover,6.31042
Float,324.4693
Shares Outstanding,328.3612
Institutions Holding Shares,411.0
% Held by Institutions,1.025135
FCF Growth 5yr,0.13344458593730169
