,SABR
% Above Low,0.21300000000000002
% Held by Institutions,1.0251000000000001
52-Wk Range,['4.46 - 12.08']
Annual Dividend $,
Annual Dividend %,
Ask,5.41
Ask Size,2900.0
B/A Ratio,1.103448275862069
B/A Size,3200x2900
Beta,1.8
Bid,5.4
Bid Size,3200.0
Day Change $,0.08
Day Change %,0.015
Day High,5.44
Day Low,5.22
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.5
Ex-dividend Date,No dividend
Historical Volatility,0.7859999999999999
Last (size),100.0
Last (time),1:32p ET 11/28/22
Market Cap,1.8B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,5.33
Price,5.41
Shares Outstanding,328.4M
Short Interest,0.1301
Today's Open,5.27
Volume Past Day,(Light)
