,SABR
Next Earnings Announcement,2023-02-14 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,-0.5258964143426295
Growth 1yr High Est,-0.48756218905472626
Growth 1yr Consensus Est,-0.5067293016986778
Growth 2yr Low Est,-0.5990826609528274
Growth 2yr High Est,-0.7340723566632854
Growth 2yr Consensus Est,-0.6665775088080563
Growth 5yr Low Est,-1.196448546971259
Growth 5yr High Est,-1.0956076069030711
Growth 5yr Consensus Est,-1.1460280769371651
Growth 5yr Actual/Est,-1.4549626729545133
Growth 3yr Historic,-1.1133865745065072
