,APTV
% Above Low,0.3579
% Held by Institutions,0.9698
52-Wk Range,['77.96 - 175.91']
Annual Dividend $,
Annual Dividend %,
Ask,130.0
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,2.0
Bid,71.0
Bid Size,100.0
Closing Price,105.86
Day Change $,-1.05
Day Change %,-0.0098
Day High,107.01
Day Low,105.13
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",1.15
Ex-dividend Date,No dividend
Historical Volatility,0.519
Last (size),2.0
Last (time),5:00p ET 11/25/22
Market Cap,28.7B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",91.71
Prev Close,106.91
Shares Outstanding,270.9M
Short Interest,0.0149
Today's Open,106.79
Volume,614340.0
Volume 10-day Avg,1596490.0
Volume Past Day,(Light)
