,APTV
Price/Earnings (TTM),91.71085
Price/Sales (TTM),1.68891
Price/Book (MRQ),3.49981
Price/Cash Flow (TTM),21.72934
5yr Low,29.22
5yr High,180.81
5yr Avg Return,0.06481666666666666
EPS Growth 5yr,-0.0860562
Revenue Growth 5yr,0.049368100000000005
Dividend Growth 5yr,
Short Int Current Month,4009949.0
Short Int Prev Month,4377536.0
Short Int Pct of Float,0.014863900000000001
Days to Cover,1.604
Float,269.8622
Shares Outstanding,270.9496
Institutions Holding Shares,1085.0
% Held by Institutions,0.969809
FCF Growth 5yr,-0.6288290651288942
