,BMBL
% Above Low,0.43090000000000006
% Held by Institutions,0.9948999999999999
52-Wk Range,['15.41 - 39.33']
Annual Dividend $,
Annual Dividend %,
Ask,22.18
Ask Size,500.0
B/A Ratio,1.4
B/A Size,700x500
Beta,
Bid,22.06
Bid Size,700.0
Closing Price,22.05
Day Change $,-0.49
Day Change %,-0.0217
Day High,22.44
Day Low,21.97
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.12
Ex-dividend Date,No dividend
Historical Volatility,0.8570000000000001
Last (size),198.0
Last (time),12:59p ET 11/25/22
Market Cap,2.9B
"P/E Ratio (TTM, GAAP)",190.63
Prev Close,22.54
Shares Outstanding,129.7M
Short Interest,0.0775
Today's Open,22.43
Volume,316709.0
Volume 10-day Avg,2150152.0
Volume Past Day,(Light)
