,BMBL
Price/Earnings (TTM),190.6285
Price/Sales (TTM),3.28628
Price/Book (MRQ),1.68606
Price/Cash Flow (TTM),21.95417
5yr Low,15.41
5yr High,84.8
5yr Avg Return,-0.4546
Short Int Current Month,9927124.0
Short Int Prev Month,8217018.0
Short Int Pct of Float,0.0775458
Days to Cover,3.53585
Float,128.7427
Shares Outstanding,129.677
Institutions Holding Shares,286.0
% Held by Institutions,0.9948950000000001
FCF Growth 5yr,0.5443362607430332
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
