,BMBL
Next Earnings Announcement,2023-03-08 00:00:00
Growth Analysts,8.0
Growth 1yr Low Est,-0.8819444444444444
Growth 1yr High Est,-0.9028571428571428
Growth 1yr Consensus Est,-0.8924007936507936
Growth 2yr Low Est,-1.4997957516339868
Growth 2yr High Est,-0.37789915966386556
Growth 2yr Consensus Est,-0.9388474556489261
Growth 5yr Low Est,-1.4997957516339868
Growth 5yr High Est,-0.37789915966386556
Growth 5yr Consensus Est,-0.9388474556489262
Growth 5yr Actual/Est,-12.620111731843574
Growth 3yr Historic,-12.266666666666666
