,VVI
Price/Earnings (TTM),
Price/Sales (TTM),0.55484
Price/Book (MRQ),75.97478
Price/Cash Flow (TTM),10.48131
5yr Low,11.25
5yr High,72.27
5yr Avg Return,-0.06493333333333334
EPS Growth 5yr,
Revenue Growth 5yr,-0.15886720000000001
Dividend Growth 5yr,
Short Int Current Month,399305.0
Short Int Prev Month,501485.0
Short Int Pct of Float,0.019894099999999998
Days to Cover,2.75377
Float,20.07698
Shares Outstanding,20.6702
Institutions Holding Shares,199.0
% Held by Institutions,0.919639
FCF Growth 5yr,1.1178362605637666
