,VVI
% Above Low,0.1434
% Held by Institutions,0.9196
52-Wk Range,['25.18 - 47.54']
Annual Dividend $,
Annual Dividend %,
Ask,55.0
Ask Size,
B/A Ratio,
B/A Size,--
Beta,1.7
Bid,
Bid Size,
Closing Price,28.79
Day Change $,0.26
Day Change %,0.0091
Day High,28.84
Day Low,28.14
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.37
Ex-dividend Date,No dividend
Historical Volatility,0.494
Last (size),1.0
Last (time),7:00p ET 11/28/22
Market Cap,596.1M
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,28.53
Shares Outstanding,20.7M
Short Interest,0.0199
Today's Open,28.14
Volume,79857.0
Volume 10-day Avg,116642.0
Volume Past Day,(Light)
