,NWE
% Below High,0.07980000000000001
% Held by Institutions,0.9974
52-Wk Range,['48.68 - 63.06']
Annual Dividend $,2.52
Annual Dividend %,0.0434
Ask,58.99
Ask Size,100.0
Ask close,69.82
B/A Ratio,1.0
B/A Size,100x100
Beta,0.5
Bid,55.54
Bid Size,100.0
Bid close,44.52
Change Since Close,-1.74| |(-3.00%)
Closing Price,58.03
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-12-30 00:00:00
"EPS (TTM, GAAP)",3.06
Ex-dividend,2022-12-14 00:00:00
Ex-dividend Date,12/14/22
Historical Volatility,0.231
Last (size),1.0
Last (time),1:00p ET 11/25/22
Last Trade,56.29
Market Cap,3.4B
"P/E Ratio (TTM, GAAP)",18.96
Prev Close,58.03
Shares Outstanding,57.8M
Short Interest,0.0212
Today's Open,
Volume,1.0
Volume 10-day Avg,304197.0
Volume Past Day,(Light)
