,NWE
Price/Earnings (TTM),18.96232
Price/Sales (TTM),2.39511
Price/Book (MRQ),1.32138
Price/Cash Flow (TTM),9.31682
5yr Low,45.06
5yr High,80.52
5yr Avg Return,-0.007533333333333331
EPS Growth 5yr,0.012397199999999999
Revenue Growth 5yr,0.0176694
Dividend Growth 5yr,0.0439611
Short Int Current Month,1213205.0
Short Int Prev Month,1567203.0
Short Int Pct of Float,0.0211917
Days to Cover,3.72771
Float,57.28052
Shares Outstanding,57.77874
Institutions Holding Shares,389.0
% Held by Institutions,0.997374
FCF Growth 5yr,15.496529478448315
