,LUV
% Above Low,0.2987
% Held by Institutions,0.7425
52-Wk Range,['30.20 - 50.10']
Annual Dividend $,
Annual Dividend %,
Ask,39.5
Ask Size,300.0
B/A Ratio,0.3333333333333333
B/A Size,100x300
Beta,1.1
Bid,36.0
Bid Size,100.0
Change Since Close,-0.98| |(-2.50%)
Closing Price,39.22
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",1.27
Ex-dividend Date,No dividend
Historical Volatility,0.37700000000000006
Last (size),10.0
Last (time),5:00p ET 11/25/22
Last Trade,38.24
Market Cap,23.3B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",30.81
Prev Close,39.22
Shares Outstanding,593.8M
Short Interest,0.0154
Today's Open,
Volume,85.0
Volume 10-day Avg,4845193.0
Volume Past Day,(Light)
