,LUV
Price/Earnings (TTM),30.81008
Price/Sales (TTM),1.02617
Price/Book (MRQ),2.13172
Price/Cash Flow (TTM),10.91235
5yr Low,22.47
5yr High,66.99
5yr Avg Return,-0.046316666666666666
EPS Growth 5yr,-0.14192470000000001
Revenue Growth 5yr,-0.0489041
Dividend Growth 5yr,
Short Int Current Month,9107258.0
Short Int Prev Month,10103384.0
Short Int Pct of Float,0.0153996
Days to Cover,1.54848
Float,591.6715
Shares Outstanding,593.752
Institutions Holding Shares,1148.0
% Held by Institutions,0.7424729999999999
FCF Growth 5yr,0.12687147894427553
