,ZBH
% Above Low,0.1721
% Held by Institutions,0.9067000000000001
52-Wk Range,['100.39 - 135.05']
Annual Dividend $,0.96
Annual Dividend %,0.008100000000000001
Ask,126.0
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,1.1
Bid,110.0
Bid Size,200.0
Closing Price,117.67
Day Change $,-1.54
Day Change %,-0.0129
Day High,119.26
Day Low,117.2
Dividend Pay Date,2022-10-31 00:00:00
"EPS (TTM, GAAP)",1.61
Ex-dividend,2022-09-29 00:00:00
Ex-dividend Date,09/29/22
Historical Volatility,0.32799999999999996
Last (size),1.0
Last (time),7:00p ET 11/28/22
Market Cap,24.7B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",74.19
Prev Close,119.21
Shares Outstanding,209.9M
Short Interest,0.0108
Today's Open,118.14
Volume,1207617.0
Volume 10-day Avg,995702.0
Volume Past Day,(Heavy Day)
