,ZBH
Price/Earnings (TTM),74.18955
Price/Sales (TTM),3.49749
Price/Book (MRQ),2.04254
Price/Cash Flow (TTM),19.18149
5yr Low,74.37
5yr High,180.36
5yr Avg Return,0.01881666666666667
EPS Growth 5yr,0.0630504
Revenue Growth 5yr,0.004338600000000001
Dividend Growth 5yr,0.0
Short Int Current Month,2262902.0
Short Int Prev Month,2708884.0
Short Int Pct of Float,0.0107938
Days to Cover,1.51619
Float,209.6974
Shares Outstanding,209.8524
Institutions Holding Shares,1221.0
% Held by Institutions,0.9066759999999999
FCF Growth 5yr,0.5702513060288029
