,ZBH
Next Earnings Announcement,2023-02-06 00:00:00
Growth Analysts,29.0
Growth 1yr Low Est,-0.07808219178082187
Growth 1yr High Est,-0.07764390896921014
Growth 1yr Consensus Est,-0.07786305037501601
Growth 2yr Low Est,-0.03384050153677054
Growth 2yr High Est,-0.017776961741499064
Growth 2yr Consensus Est,-0.025808731639134802
Growth 5yr Low Est,0.04666110556998038
Growth 5yr High Est,-0.006702913378128672
Growth 5yr Consensus Est,0.019979096095925852
Growth 5yr Actual/Est,-0.008887555918106527
Growth 3yr Historic,0.005070266611986229
