,HOLX
Next Earnings Announcement,2023-02-01 00:00:00
Growth Analysts,17.0
Growth 1yr Low Est,-0.4055944055944056
Growth 1yr High Est,-0.39590443686006827
Growth 1yr Consensus Est,-0.40074942122723695
Growth 2yr Low Est,-0.155738379267791
Growth 2yr High Est,-0.09060758566167254
Growth 2yr Consensus Est,-0.12317298246473177
Growth 5yr Low Est,-0.155738379267791
Growth 5yr High Est,-0.09060758566167254
Growth 5yr Consensus Est,-0.12317298246473177
Growth 5yr Actual/Est,0.1334221168014979
Growth 3yr Historic,0.20721995829324988
