,HOLX
Price/Earnings (TTM),14.63931
Price/Sales (TTM),3.78809
Price/Book (MRQ),3.79755
Price/Cash Flow (TTM),10.63406
5yr Low,26.49
5yr High,85.0
5yr Avg Return,0.13138333333333335
EPS Growth 5yr,0.14164
Revenue Growth 5yr,0.09715270000000001
Dividend Growth 5yr,
Short Int Current Month,8592508.0
Short Int Prev Month,8340579.0
Short Int Pct of Float,0.035226
Days to Cover,4.22044
Float,244.0185
Shares Outstanding,245.8338
Institutions Holding Shares,998.0
% Held by Institutions,0.989815
FCF Growth 5yr,0.7049253506549453
