,SUM
% Above Low,0.3456
% Held by Institutions,1.0312999999999999
52-Wk Range,['21.99 - 41.46']
Annual Dividend $,
Annual Dividend %,
Ask,29.6
Ask Size,100.0
B/A Ratio,3.0
B/A Size,300x100
Beta,1.4
Bid,29.59
Bid Size,300.0
Day Change $,-0.88
Day Change %,-0.028900000000000002
Day High,30.28
Day Low,29.52
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",2.41
Ex-dividend Date,No dividend
Historical Volatility,0.435
Last (size),89.0
Last (time),3:38p ET 11/28/22
Market Cap,3.4B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",12.64
Prev Close,30.47
Price,29.59
Shares Outstanding,116.4M
Short Interest,0.0546
Today's Open,30.1
Volume Past Day,(Light)
