,SUM
Price/Earnings (TTM),12.64483
Price/Sales (TTM),1.44387
Price/Book (MRQ),1.81062
Price/Cash Flow (TTM),6.98863
5yr Low,7.51
5yr High,41.46
5yr Avg Return,0.16874999999999996
EPS Growth 5yr,0.19805820000000002
Revenue Growth 5yr,0.08184240000000001
Dividend Growth 5yr,
Short Int Current Month,6327116.0
Short Int Prev Month,6346870.0
Short Int Pct of Float,0.0545819
Days to Cover,7.86777
Float,115.943
Shares Outstanding,116.4251
Institutions Holding Shares,323.0
% Held by Institutions,1.031318
FCF Growth 5yr,-0.4913255879170733
