,SMP
% Above Low,0.2101
% Held by Institutions,0.7713
52-Wk Range,['31.61 - 55.09']
Annual Dividend $,1.08
Annual Dividend %,0.0277
Ask,38.24
Ask Size,300.0
B/A Ratio,0.3333333333333333
B/A Size,100x300
Beta,0.5
Bid,38.18
Bid Size,100.0
Day Change $,-0.74
Day Change %,-0.019
Day High,38.75
Day Low,38.25
Dividend Pay Date,2022-12-01 00:00:00
"EPS (TTM, GAAP)",3.8
Ex-dividend,2022-11-14 00:00:00
Ex-dividend Date,11/14/22
Historical Volatility,0.34700000000000003
Last (size),100.0
Last (time),2:30p ET 11/28/22
Market Cap,825.1M
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",10.26
Prev Close,38.99
Price,38.25
Shares Outstanding,21.6M
Short Interest,0.021
Today's Open,38.75
Volume Past Day,(Light)
