,SMP
Price/Earnings (TTM),10.25829
Price/Sales (TTM),0.61232
Price/Book (MRQ),1.4031
Price/Cash Flow (TTM),7.46517
5yr Low,31.61
5yr High,56.54
5yr Avg Return,-0.005416666666666661
EPS Growth 5yr,0.1019355
Revenue Growth 5yr,0.0417724
Dividend Growth 5yr,0.0844718
Short Int Current Month,409693.0
Short Int Prev Month,360646.0
Short Int Pct of Float,0.0210436
Days to Cover,2.73874
Float,20.18297
Shares Outstanding,21.5701
Institutions Holding Shares,230.0
% Held by Institutions,0.7713249999999999
FCF Growth 5yr,-0.9972357501960395
