,SMP
Next Earnings Announcement,2023-02-21 00:00:00
Growth Analysts,3.0
Growth 1yr Low Est,0.12871287128712883
Growth 1yr High Est,0.13636363636363624
Growth 1yr Consensus Est,0.13253825382538253
Growth 2yr Low Est,0.11698801459093278
Growth 2yr High Est,0.1324675324675324
Growth 2yr Consensus Est,0.12472777352923259
Growth 5yr Low Est,0.05849400729546639
Growth 5yr High Est,0.0662337662337662
Growth 5yr Consensus Est,0.062363886764616294
Growth 5yr Actual/Est,0.07258453398637543
Growth 3yr Historic,0.0993007774104191
