,KLAC
Price/Earnings (TTM),17.16642
Price/Sales (TTM),5.46622
Price/Book (MRQ),25.62026
Price/Cash Flow (TTM),14.71431
5yr Low,80.65
5yr High,457.12
5yr Avg Return,0.30284999999999995
EPS Growth 5yr,0.30099940000000003
Revenue Growth 5yr,0.2149362
Dividend Growth 5yr,0.1443717
Short Int Current Month,3523413.0
Short Int Prev Month,2733163.0
Short Int Pct of Float,0.0249309
Days to Cover,2.01826
Float,141.3435
Shares Outstanding,141.7183
Institutions Holding Shares,1508.0
% Held by Institutions,0.888289
FCF Growth 5yr,0.035108135288218247
