,BASE
% Above Low,0.23850000000000002
% Held by Institutions,0.9234
52-Wk Range,['10.19 - 34.80']
Annual Dividend $,
Annual Dividend %,
Ask,14.0
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,
Bid,12.1
Bid Size,200.0
Closing Price,12.62
Day Change $,-0.02
Day Change %,-0.0016
Day High,12.84
Day Low,12.1
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.46
Ex-dividend Date,No dividend
Historical Volatility,0.8440000000000001
Last (size),1.0
Last (time),1:00p ET 11/25/22
Market Cap,565.2M
"P/E Ratio (TTM, GAAP)",
Prev Close,12.64
Shares Outstanding,44.8M
Short Interest,0.0239
Today's Open,12.48
Volume,72768.0
Volume 10-day Avg,215973.0
Volume Past Day,(Light)
