,BASE
Price/Earnings (TTM),
Price/Sales (TTM),4.02189
Price/Book (MRQ),3.39583
Price/Cash Flow (TTM),
5yr Low,10.19
5yr High,52.26
5yr Avg Return,-0.3271
Short Int Current Month,955532.0
Short Int Prev Month,947682.0
Short Int Pct of Float,0.023914599999999998
Days to Cover,3.90894
Float,44.33025
Shares Outstanding,44.78634
Institutions Holding Shares,136.0
% Held by Institutions,0.923402
FCF Growth 5yr,0.09362508403969239
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
