,VIR
% Above Low,0.49310000000000004
% Held by Institutions,0.7463
52-Wk Range,['18.05 - 58.00']
Annual Dividend $,
Annual Dividend %,
Ask,26.95
Ask Size,3600.0
B/A Ratio,1.0277777777777777
B/A Size,3700x3600
Beta,
Bid,26.93
Bid Size,3700.0
Closing Price,26.95
Day Change $,-0.28
Day Change %,-0.0103
Day High,28.13
Day Low,26.84
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",8.5
Ex-dividend Date,No dividend
Historical Volatility,0.762
Last (size),3.0
Last (time),4:00p ET 11/28/22
Market Cap,3.6B
"P/E Ratio (TTM, GAAP)",3.2
Prev Close,27.23
Shares Outstanding,133.1M
Short Interest,0.036699999999999997
Today's Open,27.2
Volume,751811.0
Volume 10-day Avg,696607.0
Volume Past Day,(Average)
