,EMN
% Above Low,0.24420000000000003
% Held by Institutions,0.8541
52-Wk Range,['69.91 - 129.48']
Annual Dividend $,3.04
Annual Dividend %,0.035
Ask,92.64
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,1.5
Bid,76.75
Bid Size,100.0
Closing Price,86.98
Day Change $,0.1
Day Change %,0.0012
Day High,87.15
Day Low,86.26
Dividend Pay Date,2022-10-07 00:00:00
"EPS (TTM, GAAP)",9.07
Ex-dividend,2022-09-14 00:00:00
Ex-dividend Date,09/14/22
Historical Volatility,0.35700000000000004
Last (size),29.0
Last (time),5:00p ET 11/25/22
Market Cap,10.4B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",9.59
Prev Close,86.88
Shares Outstanding,120.0M
Short Interest,0.0147
Today's Open,86.67
Volume,259948.0
Volume 10-day Avg,851639.0
Volume Past Day,(Light)
