,C
% Above Low,0.2071
% Held by Institutions,0.701
52-Wk Range,['40.01 - 69.11']
Annual Dividend $,2.04
Annual Dividend %,0.042199999999999994
Ask,48.42
Ask Size,100.0
B/A Ratio,15.0
B/A Size,1500x100
Beta,1.6
Bid,48.22
Bid Size,1500.0
Closing Price,48.29
Day Change $,0.05
Day Change %,0.001
Day High,48.53
Day Low,48.13
Dividend Pay Date,2022-11-23 00:00:00
"EPS (TTM, GAAP)",7.42
Ex-dividend,2022-11-04 00:00:00
Ex-dividend Date,11/04/22
Historical Volatility,0.32799999999999996
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,93.5B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",6.51
Prev Close,48.24
Shares Outstanding,1.9B
Short Interest,0.0151
Today's Open,48.2
Volume,6823564.0
Volume 10-day Avg,17176888.0
Volume Past Day,(Light)
