,HGV
Price/Earnings (TTM),15.02015
Price/Sales (TTM),1.34781
Price/Book (MRQ),2.32667
Price/Cash Flow (TTM),8.48084
5yr Low,8.28
5yr High,56.33
5yr Avg Return,0.06756666666666665
EPS Growth 5yr,0.0053174
Revenue Growth 5yr,0.0808395
Dividend Growth 5yr,
Short Int Current Month,2781570.0
Short Int Prev Month,3011326.0
Short Int Pct of Float,0.026591
Days to Cover,2.90611
Float,114.0535
Shares Outstanding,115.0578
Institutions Holding Shares,286.0
% Held by Institutions,0.9914419999999999
FCF Growth 5yr,0.7854912374716153
