,HGV
% Above Low,0.3425
% Held by Institutions,0.9914000000000001
52-Wk Range,['32.12 - 55.23']
Annual Dividend $,
Annual Dividend %,
Ask,
Ask Size,
B/A Ratio,
B/A Size,--
Beta,2.0
Bid,38.51
Bid Size,
Closing Price,43.12
Day Change $,1.05
Day Change %,0.025
Day High,43.99
Day Low,42.1
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",2.87
Ex-dividend Date,No dividend
Historical Volatility,0.455
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,5.0B
"P/E Ratio (TTM, GAAP)",15.02
Prev Close,42.07
Shares Outstanding,115.1M
Short Interest,0.026600000000000002
Today's Open,42.27
Volume,717645.0
Volume 10-day Avg,1442661.0
Volume Past Day,(Light)
