,AVPT
% Above Low,0.40880000000000005
% Held by Institutions,0.39799999999999996
52-Wk Range,['3.40 - 7.19']
Annual Dividend $,
Annual Dividend %,
Ask,4.8
Ask Size,100.0
B/A Ratio,10.0
B/A Size,1000x100
Beta,
Bid,4.5
Bid Size,1000.0
Closing Price,4.79
Day Change $,0.01
Day Change %,0.0021
Day High,4.84
Day Low,4.69
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.2
Ex-dividend Date,No dividend
Historical Volatility,0.5770000000000001
Last (size),12.0
Last (time),1:00p ET 11/25/22
Market Cap,894.2M
"P/E Ratio (TTM, GAAP)",
Prev Close,4.78
Shares Outstanding,186.7M
Short Interest,0.0661
Today's Open,4.74
Volume,186553.0
Volume 10-day Avg,737621.0
Volume Past Day,(Light)
