,AVPT
Price/Earnings (TTM),
Price/Sales (TTM),4.01742
Price/Book (MRQ),3.79671
Price/Cash Flow (TTM),
5yr Low,3.4
5yr High,17.9
5yr Avg Return,-0.07354999999999999
Short Int Current Month,5841181.0
Short Int Prev Month,5884219.0
Short Int Pct of Float,0.0661092
Days to Cover,7.56727
Float,116.7973
Shares Outstanding,186.6709
Institutions Holding Shares,125.0
% Held by Institutions,0.39795
FCF Growth 5yr,
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
